Product ID,Product Name,Brand,Category,Model Year,Price (R),Stock Qty
284,"Electra Savannah 1 (20-inch) - Girl's - 2018","Electra","Children Bicycles",2018,319,99,27
1,"Trek 820 - 2017","Electra","Comfort Bicycles",2016,379,00,27
267,"Trek Precaliber 12 Girl's - 2018","Trek","Children Bicycles",2018,199,99,27
284,"Electra Savannah 1 (20-inch) - Girl's - 2018","Electra","Children Bicycles",2018,319,99,26
291,"Electra Sweet Ride 1 (20-inch) - Girl's - 2018","Electra","Children Bicycles",2018,319,99,22
154,"Trek Domane SLR 6 Disc Women's - 2018","Trek","Road Bikes",2018,5499,99,22
125,"Trek Kids' Dual Sport - 2018","Trek","Mountain Bikes",2018,469,99,22
267,"Trek Precaliber 12 Girl's - 2018","Trek","Children Bicycles",2018,199,99,21
195,"Electra Townie Go! 8i Ladies' - 2018","Electra","Electric Bikes",2018,2599,99,20
195,"Electra Townie Go! 8i Ladies' - 2018","Electra","Electric Bikes",2018,2599,99,19
121,"Surly Krampus Frameset - 2018","Surly","Mountain Bikes",2018,2499,99,19
1,"Trek 820 - 2017","Electra","Comfort Bicycles",2016,379,00,14
154,"Trek Domane SLR 6 Disc Women's - 2018","Trek","Road Bikes",2018,5499,99,13
267,"Trek Precaliber 12 Girl's - 2018","Trek","Children Bicycles",2018,199,99,12
291,"Electra Sweet Ride 1 (20-inch) - Girl's - 2018","Electra","Children Bicycles",2018,319,99,10
125,"Trek Kids' Dual Sport - 2018","Trek","Mountain Bikes",2018,469,99,10
291,"Electra Sweet Ride 1 (20-inch) - Girl's - 2018","Electra","Children Bicycles",2018,319,99,9
154,"Trek Domane SLR 6 Disc Women's - 2018","Trek","Road Bikes",2018,5499,99,9
284,"Electra Savannah 1 (20-inch) - Girl's - 2018","Electra","Children Bicycles",2018,319,99,6
121,"Surly Krampus Frameset - 2018","Surly","Mountain Bikes",2018,2499,99,4
121,"Surly Krampus Frameset - 2018","Surly","Mountain Bikes",2018,2499,99,3
125,"Trek Kids' Dual Sport - 2018","Trek","Mountain Bikes",2018,469,99,2
195,"Electra Townie Go! 8i Ladies' - 2018","Electra","Electric Bikes",2018,2599,99,1
